Effect,Statistic,Value,Num DF,Den DF,F Value,Pr > F
x10,Roy's greatest root,0.0103662264457187,8,672,0.8707630214403709,0.540833359412532
x11,Wilks' lambda,0.995970541135645,8,672.0,0.33984393174910515,0.9503936101040209
x11,Pillai's trace,0.004029458864354977,8.0,672.0,0.3398439317491017,0.9503936101040209
x11,Hotelling-Lawley trace,0.004045761092251211,8,671.9999999999972,0.33984393174910177,0.9503936101040208
x11,Roy's greatest root,0.004045761092251211,8,672,0.3398439317491017,0.9503936101040209
x12,Wilks' lambda,0.9871502295027765,8,672.0,1.093431059941556,0.36560754607519774
x12,Pillai's trace,0.012849770497223472,8.0,672.0,1.0934310599415564,0.36560754607519774
x12,Hotelling-Lawley trace,0.013017036427875672,8,671.9999999999972,1.0934310599415564,0.3656075460752
x12,Roy's greatest root,0.013017036427875672,8,672,1.0934310599415564,0.36560754607519774
x13,Wilks' lambda,0.9876863973604705,8,672.0,1.047237893003989,0.3988198265602793
x13,Pillai's trace,0.012313602639529566,8.0,672.0,1.047237893003993,0.3988198265602793
x13,Hotelling-Lawley trace,0.01246711777385706,8,671.9999999999972,1.047237893003993,0.3988198265602951
x13,Roy's greatest root,0.01246711777385706,8,672,1.047237893003993,0.3988198265602793
x14,Wilks' lambda,0.9856791114817203,8,672.0,1.2204323105997021,0.28401831515729214
x14,Pillai's trace,0.014320888518279692,8.0,672.0,1.2204323105996988,0.28401831515729214
x14,Hotelling-Lawley trace,0.014528956078567846,8,671.9999999999972,1.220432310599699,0.2840183151572988
x14,Roy's greatest root,0.014528956078567846,8,672,1.220432310599699,0.28401831515729214
x15,Wilks' lambda,0.993500341646665,8,672.0,0.549543144368955,0.8191995561923546
x15,Pillai's trace,0.006499658353335018,8.0,672.0,0.5495431443689572,0.8191995561923546
x15,Hotelling-Lawley trace,0.006542180290106633,8,671.9999999999972,0.5495431443689572,0.8191995561923532
x15,Roy's greatest root,0.006542180290106633,8,672,0.5495431443689571,0.8191995561923546
x16,Wilks' lambda,0.9875201722258389,8,672.0,1.0615535383613353,0.38833184764190737
x16,Pillai's trace,0.012479827774161078,8.0,672.0,1.0615535383613313,0.38833184764190737
x16,Hotelling-Lawley trace,0.012637542123349183,8,671.9999999999972,1.0615535383613313,0.38833184764192746
x16,Roy's greatest root,0.012637542123349183,8,672,1.0615535383613315,0.38833184764190737
x17,Wilks' lambda,0.9812099895086809,8,672.0,1.6085862334739736,0.11878198350968354
x17,Pillai's trace,0.018790010491319144,8.0,672.0,1.6085862334739756,0.11878198350968354
x17,Hotelling-Lawley trace,0.019149836112785423,8,671.9999999999972,1.6085862334739756,0.1187819835096866
x17,Roy's greatest root,0.019149836112785423,8,672,1.6085862334739756,0.11878198350968354
x18,Wilks' lambda,0.9899592485034524,8,672.0,0.8519776212859499,0.5570786360518485
x18,Pillai's trace,0.010040751496547616,8.0,672.0,0.8519776212859518,0.5570786360518485
x18,Hotelling-Lawley trace,0.010142590729594664,8,671.9999999999972,0.8519776212859518,0.5570786360518376
x18,Roy's greatest root,0.010142590729594664,8,672,0.8519776212859518,0.5570786360518485
x19,Wilks' lambda,0.9894417735813272,8,672.0,0.8963549375506678,0.5189796074260871
x19,Pillai's trace,0.010558226418672736,8.0,672.0,0.896354937550665,0.5189796074260871
x19,Hotelling-Lawley trace,0.010670892113698392,8,671.9999999999972,0.896354937550665,0.5189796074260751
x19,Roy's greatest root,0.010670892113698392,8,672,0.896354937550665,0.5189796074260871
x20,Wilks' lambda,0.9853226134762497,8,672.0,1.2512657794844586,0.2663935668169623
x20,Pillai's trace,0.014677386523750252,8.0,672.0,1.2512657794844564,0.2663935668169623
x20,Hotelling-Lawley trace,0.014896021184338764,8,671.9999999999972,1.2512657794844562,0.26639356681696763
x20,Roy's greatest root,0.014896021184338764,8,672,1.2512657794844562,0.2663935668169623
x21,Wilks' lambda,0.9913026189604256,8,672.0,0.7369898892130495,0.6588400140749786
x21,Pillai's trace,0.008697381039574407,8.0,672.0,0.7369898892130499,0.6588400140749786
x21,Hotelling-Lawley trace,0.008773689157298212,8,671.9999999999972,0.7369898892130498,0.6588400140749748
x21,Roy's greatest root,0.008773689157298212,8,672,0.7369898892130499,0.6588400140749786
x22,Wilks' lambda,0.9937622675381168,8,672.0,0.5272584237840273,0.8364046953959441
x22,Pillai's trace,0.0062377324618832315,8.0,672.0,0.5272584237840304,0.8364046953959441
x22,Hotelling-Lawley trace,0.006276885997428934,8,671.9999999999972,0.5272584237840304,0.8364046953959433
x22,Roy's greatest root,0.006276885997428934,8,672,0.5272584237840304,0.8364046953959441
x23,Wilks' lambda,0.9844074997451566,8,672.0,1.3305160939406873,0.2249309045613186
x23,Pillai's trace,0.015592500254843412,8.0,672.0,1.3305160939406901,0.2249309045613186
x23,Hotelling-Lawley trace,0.01583947730881774,8,671.9999999999972,1.3305160939406901,0.22493090456132228
x23,Roy's greatest root,0.01583947730881774,8,672,1.3305160939406901,0.2249309045613186
x24,Wilks' lambda,0.9837802866083709,8,672.0,1.384918912732003,0.1995587066498157
x24,Pillai's trace,0.01621971339162908,8.0,672.0,1.3849189127320023,0.1995587066498157
x24,Hotelling-Lawley trace,0.016487129913476218,8,671.9999999999972,1.3849189127320023,0.1995587066498189
x24,Roy's greatest root,0.016487129913476218,8,672,1.3849189127320023,0.1995587066498157
x25,Wilks' lambda,0.9887106495676004,8,672.0,0.9591334297211215,0.4670031347326502
x25,Pillai's trace,0.011289350432399656,8.0,672.0,0.9591334297211223,0.4670031347326502
x25,Hotelling-Lawley trace,0.011418255115727645,8,671.9999999999972,0.9591334297211221,0.46700313473264354
x25,Roy's greatest root,0.011418255115727645,8,672,0.9591334297211221,0.4670031347326502
x26,Wilks' lambda,0.9820294812841629,8,672.0,1.5371468992523214,0.14080142691217773
x26,Pillai's trace,0.017970518715837054,8.0,672.0,1.5371468992523174,0.14080142691217773
x26,Hotelling-Lawley trace,0.018299367848241873,8,671.9999999999972,1.5371468992523172,0.1408014269121801
x26,Roy's greatest root,0.018299367848241873,8,672,1.5371468992523174,0.14080142691217773
x27,Wilks' lambda,0.9916285069960292,8,672.0,0.7091419895377826,0.6836402263313377
x27,Pillai's trace,0.00837149300397078,8.0,672.0,0.709141989537783,0.6836402263313377
x27,Hotelling-Lawley trace,0.008442166542116462,8,671.9999999999972,0.7091419895377828,0.6836402263313345
x27,Roy's greatest root,0.008442166542116462,8,672,0.7091419895377828,0.6836402263313377
x28,Wilks' lambda,0.9920531736992072,8,672.0,0.6728806751128772,0.7156910514275174
x28,Pillai's trace,0.007946826300792801,8.0,672.0,0.6728806751128775,0.7156910514275174
x28,Hotelling-Lawley trace,0.008010484227534255,8,671.9999999999972,0.6728806751128775,0.7156910514275153
x28,Roy's greatest root,0.008010484227534255,8,672,0.6728806751128774,0.7156910514275174
x29,Wilks' lambda,0.9868888156712008,8,672.0,1.1159711875649263,0.3500747091147607
x29,Pillai's trace,0.01311118432879926,8.0,672.0,1.1159711875649307,0.3500747091147607
x29,Hotelling-Lawley trace,0.013285371280534888,8,671.9999999999972,1.1159711875649305,0.3500747091147666
x29,Roy's greatest root,0.013285371280534888,8,672,1.1159711875649305,0.3500747091147607
x30,Wilks' lambda,0.9910138122430455,8,672.0,0.7616844107103646,0.6368105989523514
x30,Pillai's trace,0.008986187756954476,8.0,672.0,0.7616844107103646,0.6368105989523514
x30,Hotelling-Lawley trace,0.009067671556075768,8,671.9999999999972,0.7616844107103645,0.6368105989523393
x30,Roy's greatest root,0.009067671556075768,8,672,0.7616844107103645,0.6368105989523514
