Effect,Statistic,Value,Num DF,Den DF,F Value,Pr > F
x10,Roy's greatest root,0.026530758501723102,15,665,1.1761969602430575,0.2852532510884568
x11,Wilks' lambda,0.9888262825760776,15,665.0,0.5009657892958693,0.9407221231149163
x11,Pillai's trace,0.011173731384065298,15.0,665.0,0.5009664222616832,0.9407217969953918
x11,Hotelling-Lawley trace,0.01129996609178908,15,664.9999999999992,0.5009651634026493,0.9407224455893753
x11,Roy's greatest root,0.011298716578879623,15,665,0.50090976833033,0.9407509820836394
x12,Wilks' lambda,0.9785999611820897,15,665.0,0.969482006840339,0.48609943631102437
x12,Pillai's trace,0.02140003881791028,15.0,665.0,0.969482006840338,0.48609943631102437
x12,Hotelling-Lawley trace,0.02186801519188732,15,664.9999999999992,0.9694820068403379,0.4860994363110146
x12,Roy's greatest root,0.02186801519188732,15,665,0.9694820068403379,0.48609943631102437
x13,Wilks' lambda,0.9706672396730588,15,665.0,1.3397166279136699,0.1722889879058613
x13,Pillai's trace,0.02933291902396216,15.0,665.0,1.3397240951257643,0.17228476989246452
x13,Hotelling-Lawley trace,0.03021900856548982,15,664.9999999999992,1.3397093797367152,0.17229308227069753
x13,Roy's greatest root,0.030213597335851067,15,665,1.3394694818893973,0.17242863966813
x14,Wilks' lambda,0.9709723973763273,15,665.0,1.3253624783362927,0.18054907059746775
x14,Pillai's trace,0.029027602623672683,15.0,665.0,1.3253624783362943,0.1805490705974626
x14,Hotelling-Lawley trace,0.029895394248187084,15,664.9999999999992,1.325362478336294,0.18054907059746558
x14,Roy's greatest root,0.029895394248187084,15,665,1.325362478336294,0.1805490705974626
x15,Wilks' lambda,0.9824489367410509,15,665.0,0.7919975366806219,0.6873522310223424
x15,Pillai's trace,0.01755106325894911,15.0,665.0,0.7919975366806241,0.6873522310223424
x15,Hotelling-Lawley trace,0.017864606090540393,15,664.9999999999992,0.7919975366806241,0.6873522310223408
x15,Roy's greatest root,0.017864606090540393,15,665,0.7919975366806241,0.6873522310223424
x16,Wilks' lambda,0.9700857019098598,15,665.0,1.3670962741249784,0.15736526585529845
x16,Pillai's trace,0.029914561577441864,15.0,665.0,1.367108686931525,0.15735874304060474
x16,Hotelling-Lawley trace,0.030836486450573616,15,664.9999999999992,1.367084232642097,0.15737159375061008
x16,Roy's greatest root,0.030827675783245842,15,665,1.3666936263905658,0.15757697143624363
x17,Wilks' lambda,0.969467525337209,15,665.0,1.3962369458907273,0.14264234660048375
x17,Pillai's trace,0.030532717473507536,15.0,665.0,1.3962483992217765,0.14263678867706164
x17,Hotelling-Lawley trace,0.03149381599084964,15,664.9999999999992,1.3962258422610008,0.14264773499433003
x17,Roy's greatest root,0.03148586137876576,15,665,1.3958731877919488,0.14281895846653095
x18,Wilks' lambda,0.9802348353518864,15,665.0,0.8939241915621958,0.5710670465483674
