participant_id	Gradient 1	Gradient 2	Gradient 3	CAP
A00032876	0.229698430672266	-0.579906473495677	0.063976049404604	1
A00033011	-0.011652014771598	-0.58504418865052	0.047816856186721	1
A00033021	-0.017177369986211	-0.660144403394526	0.01462848185717	1
A00033180	-0.046542223266366	-0.687671503037227	0.072012079937993	1
A00033231	0.044684902994179	-0.712711708037956	-0.05949090239833	1
A00033232	-0.156106615648476	-0.460105357174702	-0.059881121629914	1
A00033247	0.256970065122335	-0.555906294235284	0.000364669114326	1
A00033248	0.166775343575755	-0.68240660158776	-0.08989034825323	1
A00033589	-0.138398876768511	-0.602371710724623	0.013202288235823	1
A00033609	0.117899971685811	-0.48174222209692	-0.060315234060653	1
A00033643	-0.018275150993084	-0.596656468968954	-0.022458695895821	1
A00033647	-0.003798844850931	-0.719292126055608	0.034355043811926	1
A00033673	0.141239752929409	-0.413142229361907	-0.106431074721999	1
A00033714	0.112451038563599	-0.67529161644322	0.028936457600376	1
A00033735	0.242732009395671	-0.640063227816907	-0.056083491502888	1
A00033747	0.140591540389508	-0.623317431023439	-0.000940965824403	1
A00033748	0.131552160126767	-0.493062457716875	0.282397187432462	1
A00033764	0.019448768364991	-0.504864004056553	0.085402477989643	1
A00033832	0.007459607681923	-0.590173288666145	-0.036109375315678	1
A00033834	0.112223463645192	-0.64266495516603	0.072424793812442	1
A00033849	-0.139024160771201	-0.501357679310404	0.158280610497137	1
A00033903	-0.147880801555296	-0.51252054117806	-0.085315666944295	1
A00033963	0.063862902377559	-0.335045050257224	-0.055000065668244	1
A00033998	0.060819035500907	-0.541056594907917	0.168733472308599	1
A00034073	-0.024245041395564	-0.669894789018323	-0.056841750394734	1
A00034074	0.079843387696896	-0.550692589149848	-0.057489363851699	1
A00034093	0.039780275359066	-0.719568131055073	0.068677608395854	1
A00034193	0.151821757481748	-0.580350196844246	-0.0954768879622	1
A00034385	0.150219895896133	-0.683109352023206	0.093832615578999	1
A00034400	0.045355066615411	-0.579467603124641	0.037544420563136	1
A00034827	0.14411467281878	-0.638149610245594	0.08125744872056	1
A00034854	0.041818328901272	-0.511846502368544	0.143146804108357	1
A00034987	-0.050675039821016	-0.63350481769748	0.158036333703127	1
A00035054	0.036733981270972	-0.715696196895433	-0.13700376649904	1
A00035072	-0.025146193088984	-0.652570308897287	-0.1493003168589	1
A00035291	0.002300303893848	-0.713284248971825	0.104987802589044	1
A00035337	0.026560554149859	-0.691889100822642	0.1139591050152	1
A00035363	0.019732586359307	-0.592244117306552	-0.008265077772017	1
A00035377	0.044068818327983	-0.565948547086206	0.057631656497342	1
A00035437	-0.032740601014799	-0.565832684235298	-0.04633846814142	1
A00035440	0.063603419951968	-0.454692666168191	0.037460230864494	1
A00035504	-0.015010731393413	-0.573153602912604	-0.050456497501044	1
A00035535	0.016835165309832	-0.580870433561028	0.120882696352298	1
A00035553	0.056375765630607	-0.62556296043562	0.106401503492299	1
A00035562	0.189577204144494	-0.648619183626961	0.013921429974995	1
A00035606	0.0996216963751	-0.554508788259333	-0.092971630591648	1
A00035608	0.249410549368374	-0.611767872713633	-0.111474631273594	1
A00035625	0.099046754194868	-0.662086455105874	-0.017236954274391	1
A00035633	0.017659567062332	-0.605583164021039	0.114355353881211	1
A00035699	-0.048478435601236	-0.639506604205343	0.063758551238921	1
A00035744	0.102020311290657	-0.658369698562496	0.190441403402201	1
A00035765	-0.042031319424009	-0.738353573084445	0.054442888848935	1
A00035798	0.267574479122716	-0.497731011716672	0.086267427543947	1
A00035827	-0.012355903390105	-0.54789214736216	-0.159638470584204	1
A00035840	0.045076719298451	-0.701401853208504	-0.169329467224308	1
A00035879	-0.162247236991638	-0.539566555242299	0.122703833552714	1
A00035881	-0.055614346971033	-0.482146588283364	0.003296214754693	1
A00035926	0.006949998523785	-0.651400894650238	0.162786488516387	1
A00035940	0.06986038116818	-0.710508357224293	0.20085917859575	1
A00035941	0.158600088092078	-0.493081297567361	-0.26265143507229	1
A00035943	0.035940609941022	-0.666370301382319	-0.104419903140288	1
A00035951	0.01424686580302	-0.612059120782867	-0.077879567269128	1
A00035960	0.072892423602783	-0.749779077511028	-0.045212769481219	1
A00037081	0.19031652264499	-0.596367158821152	-0.093036775738793	1
A00037110	-0.019941971262606	-0.73052794616692	0.128800617673778	1
A00037111	0.120648662358937	-0.651601536689167	0.114557449630124	1
